,fl_date,dep_time,origin_city_name,dep_delay,weather_delay,weatherDesc
0,2019-01-01,955.0,"Atlanta, GA",-5.0,,Light drizzle
1,2019-01-01,2114.0,"Atlanta, GA",-5.0,,Partly cloudy
2,2019-01-01,1701.0,"Atlanta, GA",-3.0,,Moderate rain
3,2019-01-01,604.0,"Atlanta, GA",4.0,,Light rain shower
4,2019-01-01,1814.0,"Atlanta, GA",0.0,,Moderate rain at times
5,2019-01-01,1039.0,"Atlanta, GA",-4.0,,Light drizzle
6,2019-01-01,1917.0,"Atlanta, GA",-1.0,,Moderate rain at times
7,2019-01-01,803.0,"Atlanta, GA",-7.0,,Light rain shower
8,2019-01-01,1108.0,"Atlanta, GA",108.0,0.0,Light drizzle
9,2019-01-01,2213.0,"Atlanta, GA",-10.0,,Partly cloudy
10,2019-01-01,2133.0,"Atlanta, GA",-4.0,,Partly cloudy
11,2019-01-01,2021.0,"Atlanta, GA",-6.0,,Moderate rain at times
12,2019-01-01,955.0,"Atlanta, GA",-5.0,,Light drizzle
13,2019-01-01,1047.0,"Atlanta, GA",-4.0,,Light drizzle
14,2019-01-01,1544.0,"Atlanta, GA",29.0,16.0,Moderate rain
15,2019-01-01,1301.0,"Atlanta, GA",-3.0,,Overcast
16,2019-01-01,1035.0,"Atlanta, GA",40.0,16.0,Light drizzle
17,2019-01-01,1056.0,"Atlanta, GA",-5.0,,Light drizzle
18,2019-01-01,1202.0,"Atlanta, GA",-3.0,,Overcast
19,2019-01-01,2010.0,"Atlanta, GA",-8.0,,Moderate rain at times
20,2019-01-01,1931.0,"Atlanta, GA",-2.0,,Moderate rain at times
21,2019-01-01,1022.0,"Atlanta, GA",62.0,0.0,Light drizzle
22,2019-01-01,1207.0,"Atlanta, GA",0.0,,Overcast
23,2019-01-01,1911.0,"Atlanta, GA",11.0,,Moderate rain at times
24,2019-01-01,1202.0,"Atlanta, GA",-5.0,,Overcast
25,2019-01-01,1340.0,"Atlanta, GA",-2.0,,Overcast
26,2019-01-01,2034.0,"Atlanta, GA",-3.0,,Moderate rain at times
27,2019-01-01,1426.0,"Atlanta, GA",-10.0,,Overcast
28,2019-01-01,1643.0,"Atlanta, GA",-2.0,,Moderate rain
29,2019-01-01,1338.0,"Atlanta, GA",-4.0,,Overcast
30,2019-01-01,1503.0,"Atlanta, GA",3.0,,Moderate rain
31,2019-01-01,1025.0,"Atlanta, GA",-5.0,,Light drizzle
32,2019-01-01,940.0,"Atlanta, GA",-3.0,,Light drizzle
33,2019-01-01,1700.0,"Atlanta, GA",-1.0,,Moderate rain
34,2019-01-01,2214.0,"Atlanta, GA",-10.0,,Partly cloudy
35,2019-01-01,1102.0,"Atlanta, GA",-8.0,,Light drizzle
36,2019-01-01,945.0,"Atlanta, GA",769.0,769.0,Light drizzle
37,2019-01-01,2229.0,"Atlanta, GA",-5.0,,Partly cloudy
38,2019-01-01,1051.0,"Atlanta, GA",-3.0,,Light drizzle
39,2019-01-01,2232.0,"Atlanta, GA",-8.0,,Partly cloudy
40,2019-01-01,1126.0,"Atlanta, GA",96.0,55.0,Light drizzle
41,2019-01-01,1750.0,"Atlanta, GA",-4.0,,Moderate rain
42,2019-01-01,2231.0,"Atlanta, GA",0.0,,Partly cloudy
43,2019-01-01,1959.0,"Atlanta, GA",-5.0,,Moderate rain at times
44,2019-01-01,1336.0,"Atlanta, GA",-5.0,,Overcast
45,2019-01-01,1357.0,"Atlanta, GA",-9.0,,Overcast
46,2019-01-01,1008.0,"Atlanta, GA",-3.0,,Light drizzle
47,2019-01-01,1858.0,"Atlanta, GA",-2.0,,Moderate rain at times
48,2019-01-01,2239.0,"Atlanta, GA",-1.0,,Partly cloudy
49,2019-01-01,1450.0,"Atlanta, GA",-7.0,,Overcast
50,2019-01-01,1214.0,"Atlanta, GA",-1.0,,Overcast
51,2019-01-01,1204.0,"Atlanta, GA",-4.0,,Overcast
52,2019-01-01,2038.0,"Atlanta, GA",-6.0,0.0,Moderate rain at times
53,2019-01-01,814.0,"Atlanta, GA",9.0,,Light rain shower
54,2019-01-01,1155.0,"Atlanta, GA",0.0,,Light drizzle
55,2019-01-01,1712.0,"Atlanta, GA",2.0,0.0,Moderate rain
56,2019-01-01,1346.0,"Atlanta, GA",16.0,0.0,Overcast
57,2019-01-01,1419.0,"Atlanta, GA",0.0,,Overcast
58,2019-01-01,1944.0,"Atlanta, GA",-1.0,,Moderate rain at times
59,2019-01-01,559.0,"Atlanta, GA",-1.0,,Light rain shower
60,2019-01-01,1849.0,"Atlanta, GA",50.0,0.0,Moderate rain at times
61,2019-01-01,1757.0,"Atlanta, GA",-6.0,,Moderate rain
62,2019-01-01,1328.0,"Atlanta, GA",-7.0,,Overcast
63,2019-01-01,925.0,"Atlanta, GA",-4.0,,Light drizzle
64,2019-01-01,605.0,"Atlanta, GA",4.0,,Light rain shower
65,2019-01-01,643.0,"Atlanta, GA",-2.0,,Light rain shower
66,2019-01-01,1807.0,"Atlanta, GA",-2.0,,Moderate rain at times
67,2019-01-01,1431.0,"Atlanta, GA",-4.0,,Overcast
68,2019-01-01,2006.0,"Atlanta, GA",16.0,,Moderate rain at times
69,2019-01-01,947.0,"Atlanta, GA",7.0,,Light drizzle
70,2019-01-01,756.0,"Atlanta, GA",-4.0,,Light rain shower
71,2019-01-01,1648.0,"Atlanta, GA",33.0,0.0,Moderate rain
72,2019-01-01,1148.0,"Atlanta, GA",48.0,0.0,Light drizzle
73,2019-01-01,2234.0,"Atlanta, GA",29.0,,Partly cloudy
74,2019-01-01,1912.0,"Atlanta, GA",2.0,,Moderate rain at times
75,2019-01-01,1459.0,"Atlanta, GA",-1.0,,Overcast
76,2019-01-01,2211.0,"Atlanta, GA",16.0,,Partly cloudy
77,2019-01-01,927.0,"Atlanta, GA",7.0,,Light drizzle
78,2019-01-01,914.0,"Atlanta, GA",9.0,,Light drizzle
79,2019-01-01,1312.0,"Atlanta, GA",-3.0,,Overcast
80,2019-01-01,613.0,"Atlanta, GA",-2.0,,Light rain shower
81,2019-01-01,1950.0,"Atlanta, GA",20.0,,Moderate rain at times
82,2019-01-01,1802.0,"Atlanta, GA",-3.0,,Moderate rain at times
83,2019-01-01,1146.0,"Atlanta, GA",16.0,,Light drizzle
84,2019-01-01,839.0,"Atlanta, GA",-1.0,,Light rain shower
85,2019-01-01,2211.0,"Atlanta, GA",6.0,,Partly cloudy
86,2019-01-01,1552.0,"Atlanta, GA",12.0,,Moderate rain
87,2019-01-01,855.0,"Atlanta, GA",15.0,,Light rain shower
88,2019-01-01,2212.0,"Atlanta, GA",7.0,,Partly cloudy
89,2019-01-01,931.0,"Atlanta, GA",-4.0,,Light drizzle
90,2019-01-01,2128.0,"Atlanta, GA",78.0,0.0,Partly cloudy
91,2019-01-01,1845.0,"Atlanta, GA",5.0,,Moderate rain at times
92,2019-01-01,1736.0,"Atlanta, GA",16.0,,Moderate rain
93,2019-01-01,1328.0,"Atlanta, GA",-2.0,,Overcast
94,2019-01-01,643.0,"Atlanta, GA",-2.0,,Light rain shower
95,2019-01-01,2224.0,"Atlanta, GA",94.0,0.0,Partly cloudy
96,2019-01-01,1510.0,"Atlanta, GA",0.0,,Moderate rain
97,2019-01-01,1037.0,"Atlanta, GA",-3.0,,Light drizzle
98,2019-01-01,2048.0,"Atlanta, GA",-2.0,,Moderate rain at times
99,2019-01-01,859.0,"Atlanta, GA",9.0,,Light rain shower
100,2019-01-01,1815.0,"Atlanta, GA",0.0,,Moderate rain at times
101,2019-01-01,557.0,"Atlanta, GA",-3.0,,Light rain shower
102,2019-01-01,1639.0,"Atlanta, GA",-6.0,,Moderate rain
103,2019-01-01,2200.0,"Atlanta, GA",5.0,,Partly cloudy
104,2019-01-01,831.0,"Atlanta, GA",1.0,,Light rain shower
105,2019-01-01,1050.0,"Atlanta, GA",0.0,,Light drizzle
106,2019-01-01,1756.0,"Atlanta, GA",1.0,,Moderate rain
107,2019-01-01,2048.0,"Atlanta, GA",13.0,,Moderate rain at times
108,2019-01-01,651.0,"Atlanta, GA",1.0,,Light rain shower
109,2019-01-01,1331.0,"Atlanta, GA",1.0,,Overcast
110,2019-01-01,1057.0,"Atlanta, GA",17.0,,Light drizzle
111,2019-01-01,2217.0,"Atlanta, GA",12.0,,Partly cloudy
112,2019-01-01,1636.0,"Atlanta, GA",11.0,,Moderate rain
113,2019-01-01,609.0,"Atlanta, GA",4.0,,Light rain shower
114,2019-01-01,1044.0,"Atlanta, GA",14.0,,Light drizzle
115,2019-01-01,1958.0,"Atlanta, GA",8.0,,Moderate rain at times
116,2019-01-01,1725.0,"Atlanta, GA",15.0,,Moderate rain
117,2019-01-01,1845.0,"Atlanta, GA",5.0,,Moderate rain at times
118,2019-01-01,1600.0,"Atlanta, GA",10.0,,Moderate rain
119,2019-01-01,829.0,"Atlanta, GA",-1.0,,Light rain shower
120,2019-01-01,830.0,"Atlanta, GA",0.0,,Light rain shower
121,2019-01-01,1605.0,"Atlanta, GA",5.0,,Moderate rain
122,2019-01-01,1941.0,"Atlanta, GA",1.0,,Moderate rain at times
123,2019-01-01,2313.0,"Atlanta, GA",78.0,0.0,Partly cloudy
