,arr_delay
10,-29.0
11,1.0
12,-15.0
13,-35.0
14,11.0
15,1.0
16,3.0
17,-10.0
18,0.0
19,36.0
20,-4.0
21,-14.0
22,-31.0
23,-8.0
24,1.0
25,-2.0
26,17.0
27,106.0
28,-2.0
29,13.0
30,-3.0
31,-15.0
32,77.0
33,-17.0
34,-14.0
35,-3.0
36,-26.0
37,-14.0
38,-11.0
39,-22.0
40,10.0
41,41.0
42,-22.0
43,53.0
44,0.0
45,-8.0
46,17.0
47,85.0
48,-9.0
49,-11.0
50,-3.0
51,-19.0
52,27.0
53,-1.0
54,12.0
55,-4.0
56,-13.0
57,-1.0
58,-26.0
59,-16.0
60,7.0
61,-30.0
62,-30.0
63,12.0
64,5.0
65,-47.0
66,-4.0
67,-2.0
68,-11.0
69,-14.0
70,-2.0
71,-20.0
72,-19.0
73,2.0
74,-12.0
75,-17.0
76,-10.0
77,14.0
78,-3.0
79,-30.0
80,-22.0
81,-27.0
82,-25.0
83,-19.0
84,6.0
85,-3.0
86,-28.0
87,199.0
88,-7.0
89,-6.0
90,-19.0
91,-9.0
92,27.0
93,44.0
94,-5.0
95,-19.0
96,1.0
97,-22.0
98,1.0
99,12.0
100,40.0
101,1.0
102,-11.0
103,32.0
104,2.0
105,-8.0
106,249.0
107,-26.0
108,-14.0
109,-7.0
110,5.0
111,-9.0
112,-3.0
113,42.0
114,39.0
115,35.0
116,13.0
117,3.0
118,-21.0
119,-4.0
120,-2.0
121,-23.0
122,-13.0
123,-16.0
124,3.0
125,-10.0
126,20.0
127,1.0
128,-9.0
129,7.0
130,-2.0
131,-15.0
132,-21.0
133,-27.0
134,-12.0
135,-11.0
136,4.0
137,-6.0
138,-5.0
139,9.0
140,-5.0
141,-15.0
142,-3.0
143,-11.0
144,-4.0
145,-10.0
146,2.0
147,-7.0
148,-34.0
149,-12.0
150,-2.0
151,-11.0
152,-7.0
153,-26.0
154,-24.0
155,-6.0
156,-3.0
157,22.0
158,5.0
159,-31.0
160,10.0
161,-24.0
162,-14.0
163,-22.0
164,-5.0
165,-3.0
166,-3.0
167,-17.0
168,-6.0
169,-8.0
170,-18.0
171,-37.0
172,15.0
173,6.0
174,-25.0
175,8.0
176,-13.0
177,48.0
178,246.0
179,107.0
180,8.0
181,2.0
182,-9.0
183,3.0
184,-7.0
185,-3.0
186,-20.0
187,113.0
188,140.0
189,22.0
192,-4.0
193,2.0
194,5.0
195,8.0
196,-6.0
197,98.0
198,26.0
199,-10.0
200,26.0
201,31.0
202,1.0
203,342.0
204,329.0
205,-3.0
206,-12.0
207,-1.0
208,-14.0
209,158.0
210,14.0
211,74.0
212,66.0
213,-5.0
214,-5.0
215,833.0
216,-8.0
217,11.0
218,-9.0
219,0.0
220,-14.0
221,5.0
222,1.0
223,4.0
224,9.0
225,-9.0
226,3.0
227,-1.0
228,9.0
229,23.0
230,1.0
231,-8.0
232,-16.0
233,13.0
234,59.0
235,17.0
236,60.0
237,21.0
238,-38.0
239,95.0
240,-12.0
241,-10.0
242,53.0
243,-17.0
244,-2.0
245,27.0
246,-26.0
247,244.0
248,123.0
249,-20.0
250,122.0
