,airport,num_pass_leaving,num_pass_arriving,num_pass_total
0,05A,748.0,843.0,1591.0
1,06A,19.0,18.0,37.0
2,08A,15.0,17.0,32.0
3,09A,43.0,65.0,108.0
4,1B1,29.0,16.0,45.0
5,1CA,8.0,8.0,16.0
6,1G4,156091.0,159683.0,315774.0
7,1GA,0.0,1.0,1.0
8,1NC,3.0,3.0,6.0
9,1NY,1.0,1.0,2.0
10,1TN,9.0,8.0,17.0
11,1TX,1.0,1.0,2.0
12,2CA,3.0,2.0,5.0
13,2GA,0.0,4.0,4.0
14,3GA,9.0,9.0,18.0
15,6B0,39.0,30.0,69.0
16,7AK,9376.0,9945.0,19321.0
17,A01,11.0,17.0,28.0
18,A02,34.0,53.0,87.0
19,A03,485.0,1435.0,1920.0
20,A04,15.0,19.0,34.0
21,A07,0.0,0.0,0.0
22,A17,2.0,0.0,2.0
23,A18,1.0,3.0,4.0
24,A1K,18.0,18.0,36.0
25,A1L,8.0,0.0,8.0
26,A20,0.0,0.0,0.0
27,A26,73.0,94.0,167.0
28,A27,243.0,264.0,507.0
29,A28,2.0,0.0,2.0
30,A29,442.0,489.0,931.0
31,A2K,65.0,65.0,130.0
32,A2L,6.0,6.0,12.0
33,A30,6.0,5.0,11.0
34,A31,0.0,8.0,8.0
35,A34,9.0,16.0,25.0
36,A35,17.0,16.0,33.0
37,A37,0.0,13.0,13.0
38,A39,0.0,0.0,0.0
39,A3K,0.0,0.0,0.0
40,A40,3.0,3.0,6.0
41,A43,2018.0,2099.0,4117.0
42,A48,2.0,0.0,2.0
43,A4K,0.0,0.0,0.0
44,A50,17.0,25.0,42.0
45,A51,0.0,0.0,0.0
46,A52,50.0,482.0,532.0
47,A63,132.0,105.0,237.0
48,A65,7.0,20.0,27.0
49,A6K,11.0,14.0,25.0
50,A72,20.0,1706.0,1726.0
51,A75,8.0,9.0,17.0
52,A76,6.0,0.0,6.0
53,A79,5.0,5.0,10.0
54,A7K,0.0,0.0,0.0
55,A83,3.0,3.0,6.0
56,A87,18.0,16.0,34.0
57,A99,0.0,6.0,6.0
58,AA8,0.0,8.0,8.0
59,AA9,0.0,1.0,1.0
60,AAF,0.0,0.0,0.0
61,ABE,1805340.0,1788477.0,3593817.0
62,ABI,447451.0,440588.0,888039.0
63,ABL,21580.0,21825.0,43405.0
64,ABQ,12744373.0,12712703.0,25457076.0
65,ABR,140566.0,138281.0,278847.0
66,ABV,28.0,17.0,45.0
67,ABY,187400.0,182625.0,370025.0
68,ACA,35304.0,43125.0,78429.0
69,ACC,426260.0,407554.0,833814.0
70,ACK,652228.0,652892.0,1305120.0
71,ACT,314053.0,298992.0,613045.0
72,ACV,348363.0,337551.0,685914.0
73,ACY,2812799.0,2815121.0,5627920.0
74,ADB,5.0,4.0,9.0
75,ADD,731982.0,728021.0,1460003.0
76,ADJ,4.0,18.0,22.0
77,ADK,12635.0,12512.0,25147.0
78,ADM,0.0,6.0,6.0
79,ADQ,414515.0,411734.0,826249.0
