,arr_delay
0,-29.0
1,1.0
2,-15.0
3,-35.0
4,11.0
5,1.0
6,3.0
7,-10.0
8,0.0
9,36.0
10,-4.0
11,-14.0
12,-31.0
13,-8.0
14,1.0
15,-2.0
16,17.0
17,106.0
18,-2.0
19,13.0
20,-3.0
21,-15.0
22,77.0
23,-17.0
24,-14.0
25,-3.0
26,-26.0
27,-14.0
28,-11.0
29,-22.0
30,10.0
31,41.0
32,-22.0
33,53.0
34,0.0
35,-8.0
36,17.0
37,85.0
38,-9.0
39,-11.0
40,-3.0
41,-19.0
42,27.0
43,-1.0
44,12.0
45,-4.0
46,-13.0
47,-1.0
48,-26.0
49,-16.0
50,7.0
51,-30.0
52,-30.0
53,12.0
54,5.0
55,-47.0
56,-4.0
57,-2.0
58,-11.0
59,-14.0
60,-2.0
61,-20.0
62,-19.0
63,2.0
64,-12.0
65,-17.0
66,-10.0
67,14.0
68,-3.0
69,-30.0
70,-22.0
71,-27.0
72,-25.0
73,-19.0
74,6.0
75,-3.0
76,-28.0
77,199.0
78,-7.0
79,-6.0
80,-19.0
81,-9.0
82,27.0
83,44.0
84,-5.0
85,-19.0
86,1.0
87,-22.0
88,1.0
89,12.0
90,40.0
91,1.0
92,-11.0
93,32.0
94,2.0
95,-8.0
96,249.0
97,-26.0
98,-14.0
99,-7.0
100,5.0
101,-9.0
102,-3.0
103,42.0
104,39.0
105,35.0
106,13.0
107,3.0
108,-21.0
109,-4.0
110,-2.0
111,-23.0
112,-13.0
113,-16.0
114,3.0
115,-10.0
116,20.0
117,1.0
118,-9.0
119,7.0
120,-2.0
121,-15.0
122,-21.0
123,-27.0
124,-12.0
125,-11.0
126,4.0
127,-6.0
128,-5.0
129,9.0
130,-5.0
131,-15.0
132,-3.0
133,-11.0
134,-4.0
135,-10.0
136,2.0
137,-7.0
138,-34.0
139,-12.0
140,-2.0
141,-11.0
142,-7.0
143,-26.0
144,-24.0
145,-6.0
146,-3.0
147,22.0
148,5.0
149,-31.0
150,10.0
151,-24.0
152,-14.0
153,-22.0
154,-5.0
155,-3.0
156,-3.0
157,-17.0
158,-6.0
159,-8.0
160,-18.0
161,-37.0
162,15.0
163,6.0
164,-25.0
165,8.0
166,-13.0
167,48.0
168,246.0
169,107.0
170,8.0
171,2.0
172,-9.0
173,3.0
174,-7.0
175,-3.0
176,-20.0
177,113.0
178,140.0
179,22.0
180,-4.0
181,2.0
182,5.0
183,8.0
184,-6.0
185,98.0
186,26.0
187,-10.0
188,26.0
189,31.0
190,1.0
191,342.0
192,329.0
193,-3.0
194,-12.0
195,-1.0
196,-14.0
197,158.0
198,14.0
199,74.0
200,66.0
201,-5.0
202,-5.0
203,833.0
204,-8.0
205,11.0
206,-9.0
207,0.0
208,-14.0
209,5.0
210,1.0
211,4.0
212,9.0
213,-9.0
214,3.0
215,-1.0
216,9.0
217,23.0
218,1.0
219,-8.0
220,-16.0
221,13.0
222,59.0
223,17.0
224,60.0
225,21.0
226,-38.0
227,95.0
228,-12.0
229,-10.0
230,53.0
231,-17.0
232,-2.0
233,27.0
234,-26.0
235,244.0
236,123.0
237,-20.0
238,122.0
239,122.0
240,25.0
241,-24.0
242,21.0
243,-35.0
244,27.0
245,-9.0
246,-21.0
247,-19.0
248,2.0
249,-18.0
