,airport,month,med_pass_leaving,med_pass_arriving
0,05A,2,0.0,5.0
1,05A,3,1.0,3.0
2,05A,4,1.0,1.0
3,05A,5,1.5,4.5
4,05A,6,4.0,3.0
5,05A,7,4.0,4.0
6,05A,8,2.0,4.0
7,05A,9,3.0,0.5
8,05A,10,16.5,0.5
9,06A,1,0.0,4.0
10,06A,2,0.0,1.0
11,06A,3,0.0,4.0
12,06A,5,1.0,0.0
13,06A,7,0.0,1.0
14,06A,8,0.0,0.0
15,06A,9,0.0,0.0
16,06A,10,1.0,0.5
17,06A,11,0.0,0.0
18,06A,12,1.0,0.0
19,08A,5,0.0,1.0
20,08A,6,0.5,3.0
21,08A,7,8.0,5.0
22,08A,8,6.0,6.0
23,09A,4,0.0,3.0
24,09A,5,4.0,3.0
25,09A,6,1.0,3.0
26,09A,7,1.5,4.0
27,09A,8,4.0,1.0
28,09A,9,0.0,0.0
29,09A,10,2.0,2.0
30,09A,12,0.0,7.0
31,1B1,5,2.0,0.0
32,1B1,7,2.0,5.0
33,1B1,8,5.0,3.0
34,1B1,12,4.0,1.0
35,1CA,1,8.0,8.0
36,1G4,1,298.0,178.0
37,1G4,2,223.0,165.0
38,1G4,3,188.0,133.0
39,1G4,4,89.0,26.5
40,1G4,5,58.0,54.0
41,1G4,6,99.5,53.0
42,1G4,7,151.0,7.0
43,1G4,8,63.0,11.0
44,1G4,9,34.0,14.0
45,1G4,10,1.0,57.0
46,1G4,11,139.0,145.0
47,1G4,12,302.0,174.0
48,1GA,2,0.0,1.0
49,1NC,1,3.0,3.0
50,1NY,10,1.0,1.0
51,1TN,11,9.0,8.0
52,1TX,5,1.0,1.0
53,1TX,8,0.0,0.0
54,2CA,1,3.0,2.0
55,2GA,3,0.0,4.0
56,3GA,12,9.0,9.0
57,6B0,4,2.0,2.0
58,6B0,5,3.0,2.0
59,6B0,6,2.0,0.0
60,6B0,7,2.0,2.0
61,6B0,10,3.0,3.0
62,6B0,11,4.0,4.0
63,7AK,1,10.0,32.0
64,7AK,2,18.0,23.0
65,7AK,3,40.5,30.0
66,7AK,4,59.0,14.0
67,7AK,5,24.0,15.5
68,7AK,6,18.0,45.0
69,7AK,7,44.5,44.5
70,7AK,8,46.0,35.0
71,7AK,9,27.5,50.0
72,7AK,10,32.0,34.5
73,7AK,11,16.0,7.5
74,7AK,12,13.0,31.0
75,A01,2,0.0,0.0
76,A01,7,0.0,4.0
77,A01,8,0.0,3.0
78,A01,9,2.0,2.0
79,A01,10,2.0,0.0
80,A02,2,0.0,1.0
81,A02,3,3.5,2.0
82,A02,4,0.0,3.0
83,A02,5,1.0,0.0
84,A02,7,0.0,4.0
85,A02,8,2.0,6.0
86,A02,9,2.0,0.0
87,A02,10,3.0,2.0
88,A02,11,0.0,2.0
89,A02,12,4.0,5.0
90,A03,4,1.0,2.0
91,A03,5,1.0,4.0
92,A03,6,2.0,16.0
93,A03,7,3.0,16.0
94,A03,8,0.0,62.0
95,A03,9,0.0,13.0
96,A04,3,2.0,0.0
97,A04,8,0.0,2.0
98,A04,9,2.0,0.0
99,A04,10,0.0,2.0
100,A04,11,2.0,0.0
101,A04,12,1.0,0.5
102,A07,7,0.0,0.0
103,A17,10,2.0,0.0
104,A18,3,0.0,2.0
